Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","1961","1961","°C","-0.205","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","1971","1971","°C","-0.437","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","1981","1981","°C","-0.853","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","1991","1991","°C","2.235","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","2001","2001","°C","1.658","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","2011","2011","°C","1.766","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7001","January","2020","2020","°C","4.364","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","1961","1961","°C","4.189","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","1971","1971","°C","1.163","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","1981","1981","°C","-0.616","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","1991","1991","°C","-2.463","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","2001","2001","°C","2.235","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","2011","2011","°C","1.088","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7002","February","2020","2020","°C","5.198","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","1961","1961","°C","2.759","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","1971","1971","°C","-2.522","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","1981","1981","°C","3.301","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","1991","1991","°C","3.252","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","2001","2001","°C","1.101","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","2011","2011","°C","1.812","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7003","March","2020","2020","°C","2.051","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","1961","1961","°C","3.225","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","1971","1971","°C","0.954","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","1981","1981","°C","0.578","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","1991","1991","°C","-0.184","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","2001","2001","°C","-0.043","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","2011","2011","°C","4.304","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7004","April","2020","2020","°C","3.132","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","1961","1961","°C","-1.323","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","1971","1971","°C","1.984","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","1981","1981","°C","1.197","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","1991","1991","°C","-2.409","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","2001","2001","°C","2.42","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","2011","2011","°C","2.083","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7005","May","2020","2020","°C","0.209","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","1961","1961","°C","0.487","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","1971","1971","°C","-1.272","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","1981","1981","°C","0.05","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","1991","1991","°C","-1.682","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","2001","2001","°C","-0.851","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","2011","2011","°C","1.418","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7006","June","2020","2020","°C","1.704","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","1961","1961","°C","-1.549","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","1971","1971","°C","0.898","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","1981","1981","°C","-0.415","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","1991","1991","°C","2.172","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","2001","2001","°C","1.722","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","2011","2011","°C","-0.378","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7007","July","2020","2020","°C","1.017","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","1961","1961","°C","-0.519","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","1971","1971","°C","1.509","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","1981","1981","°C","0.161","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","1991","1991","°C","1.633","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","2001","2001","°C","2.351","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","2011","2011","°C","1.61","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7008","August","2020","2020","°C","3.685","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","1961","1961","°C","3.072","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","1971","1971","°C","-1.144","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","1981","1981","°C","0.755","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","1991","1991","°C","1.546","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","2001","2001","°C","-1.394","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","2011","2011","°C","2.079","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7009","September","2020","2020","°C","1.773","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","1961","1961","°C","1.764","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","1971","1971","°C","0.246","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","1981","1981","°C","-0.719","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","1991","1991","°C","-0.478","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","2001","2001","°C","3.905","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","2011","2011","°C","0.847","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7010","October","2020","2020","°C","1.339","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","1961","1961","°C","-0.352","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","1971","1971","°C","-0.56","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","1981","1981","°C","0.498","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","1991","1991","°C","-0.079","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","2001","2001","°C","-0.115","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","2011","2011","°C","1.075","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7011","November","2020","2020","°C","2.586","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","1961","1961","°C","-1.391","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","1971","1971","°C","2.56","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","1981","1981","°C","-3.046","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","1991","1991","°C","-0.057","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","2001","2001","°C","-1.028","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","2011","2011","°C","3.218","Fc","Calculated data"
"ET","Temperature change","79","Germany","7271","Temperature change","7012","December","2020","2020","°C","2.446","Fc","Calculated data"
